3.76327,0.497184,1.05886
3.76327,4.54505e-05,-2.59151e-05
3.76327,-0.0076394,-0.047016
3.76327,0.00682827,0.0913187
3.76327,5.67242e-06,2.9786e-05
3.76327,0.0209253,0.045851
3.76327,0.497184,1.05886
3.76327,4.54505e-05,-2.59151e-05
3.76327,-0.0076394,-0.047016
3.76327,0.00682827,0.0913187
3.76327,5.67242e-06,2.9786e-05
3.76327,0.0209253,0.045851
3.76327,0.497184,1.05886
3.76327,4.54505e-05,-2.59151e-05
3.76327,-0.0076394,-0.047016
3.76327,-3.17285e-05,-7.04724e-05
3.76327,24885.2,79471.7
3.76327,-0.000267359,-0.000532334
3.76327,0.00682827,0.0913187
3.76327,5.67242e-06,2.9786e-05
3.76327,0.0209253,0.045851
8.11152,0.678839,0.358777
8.11152,-2.99372e-06,-0.000136263
8.11152,-0.00290496,-0.128233
8.11152,-5.544e-07,-6.88052e-05
8.11152,3740.53,53199.9
8.11152,-5.25163e-05,0.000340696
8.11152,-0.00285555,0.0977645
8.11152,-3.09335e-05,0.000170195
8.11152,0.0200567,0.0196807
6.05818,0.671339,0.486562
6.05818,0.000128639,0.000128837
6.05818,-0.00650627,-0.170142
6.05818,1.04552e-05,5.65416e-05
6.05818,7319.44,66524.6
6.05818,-3.81095e-05,-0.000337689
6.05818,-0.00886084,0.196407
6.05818,-0.000300251,-0.000469184
6.05818,0.019723,0.0286445
3.76327,0.506197,1.12422
3.76327,1.28027e-05,-1.01837e-05
3.76327,-0.00704946,-0.0492329
3.76327,0.00486442,0.0980048
3.76327,-4.18344e-05,-8.48531e-06
3.76327,0.0220941,0.0497694
8.11152,0.68154,0.367122
8.11152,-7.93385e-06,-1.88237e-05
8.11152,-0.00245186,-0.176138
8.11152,-0.00317309,0.142621
8.11152,6.83252e-05,0.00104385
8.11152,0.0202947,0.0143426
6.05818,0.639753,0.191533
6.05818,1.50677e-05,-3.51476e-05
6.05818,-0.0185472,-0.153497
3.29942,0.543041,1.35336
3.29942,-2.9228e-05,6.00343e-06
3.29942,0.00140687,-0.034425
3.29942,-0.000214087,0.0792156
3.29942,9.24798e-05,-0.000142444
3.29942,0.0246141,0.0444241
3.76327,0.506197,1.12422
3.76327,1.28027e-05,-1.01837e-05
3.76327,-0.00704946,-0.0492329
3.76327,0.00486442,0.0980048
3.76327,-4.18344e-05,-8.48531e-06
3.76327,0.0220941,0.0497694
8.11152,0.68154,0.367122
8.11152,-7.93385e-06,-1.88237e-05
8.11152,-0.00245186,-0.176138
8.11152,-0.00317309,0.142621
8.11152,6.83252e-05,0.00104385
8.11152,0.0202947,0.0143426
3.29942,0.543041,1.35336
3.29942,-2.9228e-05,6.00343e-06
3.29942,0.00140687,-0.034425
3.29942,-0.000214087,0.0792156
3.29942,9.24798e-05,-0.000142444
3.29942,0.0246141,0.0444241
3.29942,0.543294,1.35297
3.29942,-3.31956e-05,8.45514e-05
3.29942,0.00140049,-0.0343751
3.29942,-0.000257457,0.0793426
3.29942,5.01181e-05,-0.000162671
3.29942,0.0246232,0.0443896
3.28378,0.544927,1.35597
3.28378,-2.40229e-05,1.27144e-05
3.28378,0.00161302,-0.0336767
3.29942,0.543294,1.35297
3.29942,-3.31956e-05,8.45514e-05
3.29942,0.00140049,-0.0343751
3.29942,-0.000257457,0.0793426
3.29942,5.01181e-05,-0.000162671
3.29942,0.0246232,0.0443896
3.28378,0.544927,1.35597
3.28378,-2.40229e-05,1.27144e-05
3.28378,0.00161302,-0.0336767
3.28378,-0.000307301,0.0783463
3.28378,2.76667e-05,-9.28829e-05
3.28378,0.0246346,0.043976
3.29942,0.543294,1.35297
3.29942,-3.31956e-05,8.45514e-05
3.29942,0.00140049,-0.0343751
3.29942,-0.000257457,0.0793426
3.29942,5.01181e-05,-0.000162671
3.29942,0.0246232,0.0443896
3.29942,0.543294,1.35297
3.29942,-3.31956e-05,8.45514e-05
3.29942,0.00140049,-0.0343751
3.29942,-0.000257457,0.0793426
3.29942,5.01181e-05,-0.000162671
3.29942,0.0246232,0.0443896
3.29942,0.543294,1.35297
