non_omiga,non_omiga_e,A_added22,B_added22,A_added23,B_added23,A_added24,B_added24,A_added32,B_added32,A_added33,B_added33,A_added34,B_added34,A_added42,B_added42,A_added43,B_added43,A_added44,B_added44,
6.47209,14.8497,1.06473,-0.00444746,5.97055e-09,3.10176e-07,0.00697539,0.204619,8.14933e-08,4.45772e-07,0.31604,0.0521485,-1.23429e-08,8.20223e-07,0.00937725,-0.221349,-1.74752e-09,3.9418e-07,0.0295813,-0.000575923,
4.57646,8.76525,0.985095,0.310019,8.4109e-08,-6.14492e-08,0.00376112,0.230336,-4.16605e-08,3.3684e-07,0.307652,0.367619,-3.89865e-08,1.98898e-07,0.00241743,-0.172124,8.4652e-08,-6.3404e-07,0.0268986,0.0207299,
3.73666,6.52919,0.920292,0.619456,-3.10399e-08,-3.85972e-07,0.00420369,0.263356,-5.14285e-08,1.09479e-06,0.327571,0.457068,6.25154e-08,-2.88033e-07,-0.000353109,-0.141683,-2.18772e-08,-6.77997e-07,0.0272905,0.0453406,
3.23604,5.33044,0.879911,0.818644,4.2735e-08,1.12126e-06,-0.000998674,0.314268,7.38501e-08,6.25681e-07,0.329769,0.263497,-1.93215e-08,-2.05274e-07,0.00460086,-0.121063,4.2033e-08,5.87442e-07,0.0257347,0.0598624,
2.89441,4.56992,0.794477,1.19186,9.77441e-08,-6.31247e-07,0.0189491,0.287745,8.07664e-08,-3.00611e-07,0.32763,0.333754,-2.93128e-08,1.66836e-07,-0.000259974,-0.0780296,1.88718e-09,-7.31577e-07,0.0297736,0.0643689,
2.64222,4.03848,0.786279,1.62231,-4.07409e-08,-5.7081e-07,0.0191643,0.218876,-2.13041e-08,-3.46855e-07,0.339422,0.348662,2.8387e-08,2.48412e-07,0.00899656,-0.0372392,-7.30887e-08,4.41417e-08,0.0306495,0.0646149,
2.50663,3.76327,0.802504,1.79896,-4.79932e-08,-2.69068e-07,0.015731,0.195826,-2.64552e-08,-2.15178e-07,0.345986,0.320295,4.37096e-08,4.08085e-08,0.0155728,-0.0289286,-3.54552e-08,2.41645e-07,0.0317678,0.0654745,
2.38998,3.53237,0.824304,1.93221,-5.09631e-08,-8.65109e-08,0.0114993,0.178433,-5.02821e-08,-3.68471e-08,0.34981,0.289245,2.8006e-08,-1.01768e-08,0.0225959,-0.0205607,-7.16183e-09,2.27493e-07,0.0335311,0.0677097,
2.28823,3.33543,0.851655,2.025,-3.9066e-08,1.53071e-10,0.00693764,0.165323,-3.5146e-08,1.468e-07,0.351931,0.266061,3.97716e-08,-2.62821e-08,0.0297707,-0.015746,7.83031e-09,1.13791e-07,0.0352475,0.0646471,
2.19846,3.1651,0.880475,2.09443,-3.86273e-08,2.16072e-08,0.00137061,0.152886,-2.16361e-08,1.63538e-07,0.353498,0.250092,3.14361e-08,-1.56212e-07,0.0377783,-0.00954522,2.02055e-09,4.09374e-08,0.035818,0.0633158,
2.11849,3.01609,0.913679,2.14721,-3.83699e-08,9.97721e-08,-0.00567142,0.144623,-1.40048e-08,2.03809e-07,0.354965,0.238778,8.36586e-09,-1.2555e-07,0.0475753,-0.00744647,-2.84791e-09,5.45609e-08,0.0369339,0.0633639,
2.04665,2.88441,0.949838,2.17602,-2.54103e-08,1.61497e-07,-0.0129933,0.140937,4.10308e-09,2.1966e-07,0.35657,0.23027,8.78949e-09,-2.86701e-08,0.0573392,-0.010824,4.39907e-10,6.79015e-08,0.0379779,0.0613775,
1.86833,2.56646,1.05234,2.18807,4.04655e-09,1.19183e-07,-0.0361945,0.140241,1.87461e-08,6.88979e-08,0.36217,0.207867,1.67543e-08,-1.01213e-07,0.086042,-0.0261442,7.52338e-09,6.9037e-08,0.0384771,0.0630353,
1.72974,2.32814,1.15337,2.14037,2.72336e-08,6.26589e-08,-0.0588861,0.156544,3.74601e-08,4.14683e-08,0.367196,0.186924,7.35747e-09,-1.1584e-09,0.113248,-0.0569932,3.18291e-08,1.39013e-08,0.0414019,0.0646813,
1.61802,2.14162,1.23678,2.06482,3.03238e-08,-7.20666e-08,-0.079235,0.173183,3.71225e-08,-1.34903e-07,0.371564,0.168605,2.5249e-08,1.45159e-08,0.136288,-0.0826864,2.43679e-08,-1.14958e-07,0.0420379,0.0685113,
1.52549,1.99091,1.31263,2.00052,8.91545e-09,-1.30612e-07,-0.100133,0.193421,4.54613e-10,-1.91143e-07,0.375181,0.152688,3.45115e-08,1.11299e-08,0.1608,-0.109609,-1.58224e-09,-1.33528e-07,0.0453115,0.07644,
1.4472,1.86608,1.38699,1.9307,-9.63594e-09,-1.27057e-07,-0.118256,0.217231,-2.35583e-08,-1.5585e-07,0.378289,0.139658,5.03335e-08,6.53504e-09,0.181987,-0.141048,-1.74273e-08,-1.00838e-07,0.0502457,0.0796226,
1.33985,1.69889,1.48753,1.80882,-3.27975e-08,-1.04659e-07,-0.143547,0.249072,-4.36301e-08,-1.29644e-07,0.383155,0.121933,7.22678e-08,-6.98186e-08,0.20991,-0.180667,-3.28633e-08,-5.07356e-08,0.0547805,0.0835218,
1.25331,1.56747,1.56499,1.73035,-5.6421e-08,-5.42921e-08,-0.172189,0.276506,-7.38642e-08,-1.01885e-07,0.387566,0.10615,7.10225e-08,-1.32805e-07,0.243339,-0.209917,-4.30388e-08,1.82869e-08,0.0603593,0.0972626,
1.18164,1.46089,1.65136,1.69066,-6.80807e-08,2.4043e-08,-0.202597,0.313788,-9.86042e-08,-3.1405e-08,0.39117,0.0919507,6.96349e-08,-1.52124e-07,0.282121,-0.251503,-3.54165e-08,9.22862e-08,0.0740933,0.111887,
1.121,1.37233,1.75938,1.65271,-6.22249e-08,9.37461e-08,-0.226563,0.360313,-1.06574e-07,3.99822e-08,0.394022,0.0796793,7.68774e-08,-1.72993e-07,0.314698,-0.30756,-1.15738e-08,1.33003e-07,0.0942014,0.118079,
0.792665,0.918329,2.50613,0.76343,2.93796e-08,4.40247e-08,-0.164153,0.540687,-1.09962e-07,2.47357e-07,0.403931,0.0151836,-7.12179e-08,-2.9209e-07,0.241914,-0.540724,4.26552e-08,-6.58561e-08,0.205204,0.0437358,
0.457646,0.499534,2.56819,0.109468,1.36843e-08,-1.01343e-08,-0.0801331,0.52184,5.38383e-08,1.61289e-07,0.392826,-0.00942656,-2.34969e-07,-1.04265e-07,0.150627,-0.523666,-5.36635e-09,-7.43064e-08,0.482273,0.0215795,
